,sid,gcm,decadal_group,direction_class,speed_range,count,frequency
79,PANI,ERA,0,14,6-10,2862,1.09
80,PANI,ERA,0,14,10-14,1672,0.64
81,PANI,ERA,0,14,14-18,738,0.28
82,PANI,ERA,0,14,18-22,261,0.1
83,PANI,ERA,0,14,22+,99,0.04
84,PANI,ERA,0,15,0-6,2479,0.94
85,PANI,ERA,0,15,6-10,1680,0.64
86,PANI,ERA,0,15,10-14,1017,0.39
87,PANI,ERA,0,15,14-18,426,0.16
88,PANI,ERA,0,15,18-22,122,0.05
89,PANI,ERA,0,15,22+,45,0.02
90,PANI,ERA,0,16,0-6,1839,0.7
91,PANI,ERA,0,16,6-10,1052,0.4
92,PANI,ERA,0,16,10-14,411,0.16
93,PANI,ERA,0,16,14-18,120,0.05
94,PANI,ERA,0,16,18-22,32,0.01
95,PANI,ERA,0,16,22+,4,0.0
96,PANI,ERA,0,17,0-6,1462,0.56
97,PANI,ERA,0,17,6-10,629,0.24
98,PANI,ERA,0,17,10-14,216,0.08
99,PANI,ERA,0,17,14-18,30,0.01
100,PANI,ERA,0,17,18-22,6,0.0
101,PANI,ERA,0,17,22+,0,0.0
102,PANI,ERA,0,18,0-6,1217,0.46
103,PANI,ERA,0,18,6-10,497,0.19
104,PANI,ERA,0,18,10-14,198,0.08
105,PANI,ERA,0,18,14-18,35,0.01
106,PANI,ERA,0,18,18-22,9,0.0
107,PANI,ERA,0,18,22+,0,0.0
108,PANI,ERA,0,19,0-6,1280,0.49
109,PANI,ERA,0,19,6-10,590,0.22
110,PANI,ERA,0,19,10-14,267,0.1
111,PANI,ERA,0,19,14-18,60,0.02
112,PANI,ERA,0,19,18-22,11,0.0
113,PANI,ERA,0,19,22+,0,0.0
114,PANI,ERA,0,20,0-6,1362,0.52
115,PANI,ERA,0,20,6-10,802,0.3
116,PANI,ERA,0,20,10-14,431,0.16
117,PANI,ERA,0,20,14-18,141,0.05
118,PANI,ERA,0,20,18-22,30,0.01
119,PANI,ERA,0,20,22+,6,0.0
120,PANI,ERA,0,21,0-6,1624,0.62
121,PANI,ERA,0,21,6-10,1342,0.51
122,PANI,ERA,0,21,10-14,703,0.27
123,PANI,ERA,0,21,14-18,248,0.09
124,PANI,ERA,0,21,18-22,52,0.02
125,PANI,ERA,0,21,22+,12,0.0
126,PANI,ERA,0,22,0-6,2146,0.82
127,PANI,ERA,0,22,6-10,1715,0.65
128,PANI,ERA,0,22,10-14,1012,0.38
129,PANI,ERA,0,22,14-18,316,0.12
130,PANI,ERA,0,22,18-22,89,0.03
131,PANI,ERA,0,22,22+,23,0.01
132,PANI,ERA,0,23,0-6,2830,1.08
133,PANI,ERA,0,23,6-10,2327,0.88
134,PANI,ERA,0,23,10-14,1068,0.41
135,PANI,ERA,0,23,14-18,282,0.11
136,PANI,ERA,0,23,18-22,77,0.03
137,PANI,ERA,0,23,22+,12,0.0
138,PANI,ERA,0,24,0-6,3412,1.3
139,PANI,ERA,0,24,6-10,2346,0.89
140,PANI,ERA,0,24,10-14,871,0.33
141,PANI,ERA,0,24,14-18,179,0.07
142,PANI,ERA,0,24,18-22,37,0.01
143,PANI,ERA,0,24,22+,3,0.0
144,PANI,ERA,0,25,0-6,3704,1.41
145,PANI,ERA,0,25,6-10,2504,0.95
146,PANI,ERA,0,25,10-14,732,0.28
147,PANI,ERA,0,25,14-18,134,0.05
148,PANI,ERA,0,25,18-22,34,0.01
149,PANI,ERA,0,25,22+,8,0.0
150,PANI,ERA,0,26,0-6,3814,1.45
151,PANI,ERA,0,26,6-10,2072,0.79
152,PANI,ERA,0,26,10-14,604,0.23
153,PANI,ERA,0,26,14-18,103,0.04
154,PANI,ERA,0,26,18-22,22,0.01
155,PANI,ERA,0,26,22+,3,0.0
156,PANI,ERA,0,27,0-6,3702,1.41
157,PANI,ERA,0,27,6-10,1960,0.75
158,PANI,ERA,0,27,10-14,465,0.18
159,PANI,ERA,0,27,14-18,52,0.02
160,PANI,ERA,0,27,18-22,5,0.0
161,PANI,ERA,0,27,22+,7,0.0
162,PANI,ERA,0,28,0-6,3338,1.27
163,PANI,ERA,0,28,6-10,1495,0.57
164,PANI,ERA,0,28,10-14,338,0.13
165,PANI,ERA,0,28,14-18,63,0.02
166,PANI,ERA,0,28,18-22,19,0.01
167,PANI,ERA,0,28,22+,4,0.0
168,PANI,ERA,0,29,0-6,3129,1.19
169,PANI,ERA,0,29,6-10,1192,0.45
170,PANI,ERA,0,29,10-14,223,0.08
171,PANI,ERA,0,29,14-18,64,0.02
172,PANI,ERA,0,29,18-22,1,0.0
173,PANI,ERA,0,29,22+,2,0.0
174,PANI,ERA,0,30,0-6,2757,1.05
175,PANI,ERA,0,30,6-10,942,0.36
176,PANI,ERA,0,30,10-14,203,0.08
177,PANI,ERA,0,30,14-18,46,0.02
178,PANI,ERA,0,30,18-22,2,0.0
179,PANI,ERA,0,30,22+,0,0.0
180,PANI,ERA,0,31,0-6,2546,0.97
181,PANI,ERA,0,31,6-10,811,0.31
182,PANI,ERA,0,31,10-14,202,0.08
183,PANI,ERA,0,31,14-18,13,0.0
184,PANI,ERA,0,31,18-22,0,0.0
185,PANI,ERA,0,31,22+,0,0.0
186,PANI,ERA,0,32,0-6,2803,1.07
187,PANI,ERA,0,32,6-10,771,0.29
188,PANI,ERA,0,32,10-14,183,0.07
189,PANI,ERA,0,32,14-18,31,0.01
190,PANI,ERA,0,32,18-22,1,0.0
191,PANI,ERA,0,32,22+,0,0.0
192,PANI,ERA,0,33,0-6,2785,1.06
193,PANI,ERA,0,33,6-10,1007,0.38
194,PANI,ERA,0,33,10-14,218,0.08
195,PANI,ERA,0,33,14-18,24,0.01
196,PANI,ERA,0,33,18-22,1,0.0
197,PANI,ERA,0,33,22+,0,0.0
198,PANI,ERA,0,34,0-6,3503,1.33
199,PANI,ERA,0,34,6-10,1254,0.48
200,PANI,ERA,0,34,10-14,374,0.14
201,PANI,ERA,0,34,14-18,36,0.01
202,PANI,ERA,0,34,18-22,12,0.0
203,PANI,ERA,0,34,22+,0,0.0
204,PANI,ERA,0,35,0-6,3984,1.51
205,PANI,ERA,0,35,6-10,1653,0.63
206,PANI,ERA,0,35,10-14,487,0.19
207,PANI,ERA,0,35,14-18,40,0.02
208,PANI,ERA,0,35,18-22,12,0.0
209,PANI,ERA,0,35,22+,0,0.0
210,PANI,ERA,0,0,0-6,4367,1.66
211,PANI,ERA,0,0,6-10,2050,0.78
212,PANI,ERA,0,0,10-14,689,0.26
213,PANI,ERA,0,0,14-18,176,0.07
214,PANI,ERA,0,0,18-22,16,0.01
215,PANI,ERA,0,0,22+,3,0.0
0,PANI,CCSM4,1,1,0-6,2757,1.05
1,PANI,CCSM4,1,1,6-10,1763,0.67
2,PANI,CCSM4,1,1,10-14,348,0.13
3,PANI,CCSM4,1,1,14-18,24,0.01
4,PANI,CCSM4,1,1,18-22,0,0.0
5,PANI,CCSM4,1,1,22+,0,0.0
6,PANI,CCSM4,1,2,0-6,2971,1.13
7,PANI,CCSM4,1,2,6-10,2318,0.88
8,PANI,CCSM4,1,2,10-14,516,0.2
9,PANI,CCSM4,1,2,14-18,34,0.01
10,PANI,CCSM4,1,2,18-22,0,0.0
11,PANI,CCSM4,1,2,22+,0,0.0
12,PANI,CCSM4,1,3,0-6,2597,0.99
13,PANI,CCSM4,1,3,6-10,1735,0.66
14,PANI,CCSM4,1,3,10-14,264,0.1
15,PANI,CCSM4,1,3,14-18,11,0.0
16,PANI,CCSM4,1,3,18-22,0,0.0
17,PANI,CCSM4,1,3,22+,0,0.0
18,PANI,CCSM4,1,4,0-6,2006,0.76
19,PANI,CCSM4,1,4,6-10,1216,0.46
20,PANI,CCSM4,1,4,10-14,151,0.06
21,PANI,CCSM4,1,4,14-18,21,0.01
22,PANI,CCSM4,1,4,18-22,0,0.0
23,PANI,CCSM4,1,4,22+,0,0.0
24,PANI,CCSM4,1,5,0-6,1826,0.69
25,PANI,CCSM4,1,5,6-10,1343,0.51
26,PANI,CCSM4,1,5,10-14,189,0.07
27,PANI,CCSM4,1,5,14-18,44,0.02
28,PANI,CCSM4,1,5,18-22,2,0.0
29,PANI,CCSM4,1,5,22+,0,0.0
30,PANI,CCSM4,1,6,0-6,1944,0.74
31,PANI,CCSM4,1,6,6-10,1172,0.45
32,PANI,CCSM4,1,6,10-14,216,0.08
33,PANI,CCSM4,1,6,14-18,45,0.02
34,PANI,CCSM4,1,6,18-22,3,0.0
35,PANI,CCSM4,1,6,22+,0,0.0
36,PANI,CCSM4,1,7,0-6,2219,0.84
37,PANI,CCSM4,1,7,6-10,1704,0.65
38,PANI,CCSM4,1,7,10-14,348,0.13
39,PANI,CCSM4,1,7,14-18,55,0.02
40,PANI,CCSM4,1,7,18-22,6,0.0
41,PANI,CCSM4,1,7,22+,0,0.0
42,PANI,CCSM4,1,8,0-6,2439,0.93
43,PANI,CCSM4,1,8,6-10,2399,0.91
44,PANI,CCSM4,1,8,10-14,704,0.27
45,PANI,CCSM4,1,8,14-18,117,0.04
46,PANI,CCSM4,1,8,18-22,7,0.0
47,PANI,CCSM4,1,8,22+,0,0.0
48,PANI,CCSM4,1,9,0-6,2558,0.97
49,PANI,CCSM4,1,9,6-10,2095,0.8
50,PANI,CCSM4,1,9,10-14,650,0.25
51,PANI,CCSM4,1,9,14-18,161,0.06
52,PANI,CCSM4,1,9,18-22,23,0.01
53,PANI,CCSM4,1,9,22+,0,0.0
54,PANI,CCSM4,1,10,0-6,2572,0.98
55,PANI,CCSM4,1,10,6-10,2199,0.84
56,PANI,CCSM4,1,10,10-14,627,0.24
57,PANI,CCSM4,1,10,14-18,170,0.06
58,PANI,CCSM4,1,10,18-22,21,0.01
59,PANI,CCSM4,1,10,22+,0,0.0
60,PANI,CCSM4,1,11,0-6,2920,1.11
61,PANI,CCSM4,1,11,6-10,2739,1.04
62,PANI,CCSM4,1,11,10-14,1063,0.4
63,PANI,CCSM4,1,11,14-18,305,0.12
64,PANI,CCSM4,1,11,18-22,67,0.03
65,PANI,CCSM4,1,11,22+,23,0.01
66,PANI,CCSM4,1,12,0-6,3331,1.27
67,PANI,CCSM4,1,12,6-10,3429,1.3
68,PANI,CCSM4,1,12,10-14,1498,0.57
69,PANI,CCSM4,1,12,14-18,755,0.29
70,PANI,CCSM4,1,12,18-22,250,0.1
71,PANI,CCSM4,1,12,22+,65,0.02
72,PANI,CCSM4,1,13,0-6,3921,1.49
73,PANI,CCSM4,1,13,6-10,4595,1.75
74,PANI,CCSM4,1,13,10-14,2230,0.85
75,PANI,CCSM4,1,13,14-18,1284,0.49
76,PANI,CCSM4,1,13,18-22,383,0.15
77,PANI,CCSM4,1,13,22+,140,0.05
78,PANI,CCSM4,1,14,0-6,4287,1.63
79,PANI,CCSM4,1,14,6-10,4421,1.68
80,PANI,CCSM4,1,14,10-14,2173,0.83
81,PANI,CCSM4,1,14,14-18,1276,0.49
82,PANI,CCSM4,1,14,18-22,493,0.19
83,PANI,CCSM4,1,14,22+,181,0.07
84,PANI,CCSM4,1,15,0-6,3597,1.37
85,PANI,CCSM4,1,15,6-10,3244,1.23
86,PANI,CCSM4,1,15,10-14,1594,0.61
87,PANI,CCSM4,1,15,14-18,775,0.29
88,PANI,CCSM4,1,15,18-22,239,0.09
89,PANI,CCSM4,1,15,22+,60,0.02
90,PANI,CCSM4,1,16,0-6,2402,0.91
91,PANI,CCSM4,1,16,6-10,1798,0.68
92,PANI,CCSM4,1,16,10-14,761,0.29
93,PANI,CCSM4,1,16,14-18,270,0.1
94,PANI,CCSM4,1,16,18-22,71,0.03
95,PANI,CCSM4,1,16,22+,2,0.0
96,PANI,CCSM4,1,17,0-6,1981,0.75
97,PANI,CCSM4,1,17,6-10,1246,0.47
98,PANI,CCSM4,1,17,10-14,424,0.16
99,PANI,CCSM4,1,17,14-18,139,0.05
100,PANI,CCSM4,1,17,18-22,25,0.01
101,PANI,CCSM4,1,17,22+,0,0.0
102,PANI,CCSM4,1,18,0-6,1951,0.74
103,PANI,CCSM4,1,18,6-10,1184,0.45
104,PANI,CCSM4,1,18,10-14,364,0.14
105,PANI,CCSM4,1,18,14-18,111,0.04
106,PANI,CCSM4,1,18,18-22,23,0.01
107,PANI,CCSM4,1,18,22+,5,0.0
108,PANI,CCSM4,1,19,0-6,2071,0.79
109,PANI,CCSM4,1,19,6-10,1356,0.52
110,PANI,CCSM4,1,19,10-14,533,0.2
111,PANI,CCSM4,1,19,14-18,198,0.08
112,PANI,CCSM4,1,19,18-22,30,0.01
113,PANI,CCSM4,1,19,22+,7,0.0
114,PANI,CCSM4,1,20,0-6,2434,0.93
115,PANI,CCSM4,1,20,6-10,2244,0.85
116,PANI,CCSM4,1,20,10-14,854,0.32
117,PANI,CCSM4,1,20,14-18,291,0.11
118,PANI,CCSM4,1,20,18-22,50,0.02
119,PANI,CCSM4,1,20,22+,11,0.0
120,PANI,CCSM4,1,21,0-6,3253,1.24
121,PANI,CCSM4,1,21,6-10,3889,1.48
122,PANI,CCSM4,1,21,10-14,1618,0.62
123,PANI,CCSM4,1,21,14-18,541,0.21
124,PANI,CCSM4,1,21,18-22,60,0.02
125,PANI,CCSM4,1,21,22+,12,0.0
126,PANI,CCSM4,1,22,0-6,3993,1.52
127,PANI,CCSM4,1,22,6-10,5013,1.91
128,PANI,CCSM4,1,22,10-14,2546,0.97
129,PANI,CCSM4,1,22,14-18,613,0.23
130,PANI,CCSM4,1,22,18-22,67,0.03
131,PANI,CCSM4,1,22,22+,18,0.01
132,PANI,CCSM4,1,23,0-6,4455,1.7
133,PANI,CCSM4,1,23,6-10,4972,1.89
134,PANI,CCSM4,1,23,10-14,1934,0.74
135,PANI,CCSM4,1,23,14-18,437,0.17
136,PANI,CCSM4,1,23,18-22,35,0.01
137,PANI,CCSM4,1,23,22+,15,0.01
138,PANI,CCSM4,1,24,0-6,4513,1.72
139,PANI,CCSM4,1,24,6-10,3861,1.47
140,PANI,CCSM4,1,24,10-14,981,0.37
141,PANI,CCSM4,1,24,14-18,229,0.09
142,PANI,CCSM4,1,24,18-22,25,0.01
143,PANI,CCSM4,1,24,22+,8,0.0
144,PANI,CCSM4,1,25,0-6,4068,1.55
145,PANI,CCSM4,1,25,6-10,2993,1.14
146,PANI,CCSM4,1,25,10-14,768,0.29
147,PANI,CCSM4,1,25,14-18,159,0.06
148,PANI,CCSM4,1,25,18-22,16,0.01
149,PANI,CCSM4,1,25,22+,4,0.0
150,PANI,CCSM4,1,26,0-6,3661,1.39
151,PANI,CCSM4,1,26,6-10,2086,0.79
152,PANI,CCSM4,1,26,10-14,469,0.18
153,PANI,CCSM4,1,26,14-18,91,0.03
154,PANI,CCSM4,1,26,18-22,5,0.0
155,PANI,CCSM4,1,26,22+,0,0.0
156,PANI,CCSM4,1,27,0-6,3034,1.15
157,PANI,CCSM4,1,27,6-10,1487,0.57
158,PANI,CCSM4,1,27,10-14,330,0.13
159,PANI,CCSM4,1,27,14-18,44,0.02
160,PANI,CCSM4,1,27,18-22,4,0.0
161,PANI,CCSM4,1,27,22+,3,0.0
162,PANI,CCSM4,1,28,0-6,2615,1.0
163,PANI,CCSM4,1,28,6-10,1246,0.47
164,PANI,CCSM4,1,28,10-14,287,0.11
165,PANI,CCSM4,1,28,14-18,37,0.01
166,PANI,CCSM4,1,28,18-22,2,0.0
167,PANI,CCSM4,1,28,22+,1,0.0
168,PANI,CCSM4,1,29,0-6,2201,0.84
169,PANI,CCSM4,1,29,6-10,912,0.35
170,PANI,CCSM4,1,29,10-14,216,0.08
171,PANI,CCSM4,1,29,14-18,37,0.01
172,PANI,CCSM4,1,29,18-22,0,0.0
173,PANI,CCSM4,1,29,22+,0,0.0
174,PANI,CCSM4,1,30,0-6,1767,0.67
175,PANI,CCSM4,1,30,6-10,681,0.26
176,PANI,CCSM4,1,30,10-14,170,0.06
177,PANI,CCSM4,1,30,14-18,28,0.01
178,PANI,CCSM4,1,30,18-22,0,0.0
179,PANI,CCSM4,1,30,22+,0,0.0
180,PANI,CCSM4,1,31,0-6,1558,0.59
181,PANI,CCSM4,1,31,6-10,583,0.22
182,PANI,CCSM4,1,31,10-14,83,0.03
183,PANI,CCSM4,1,31,14-18,14,0.01
184,PANI,CCSM4,1,31,18-22,0,0.0
185,PANI,CCSM4,1,31,22+,0,0.0
186,PANI,CCSM4,1,32,0-6,1516,0.58
187,PANI,CCSM4,1,32,6-10,596,0.23
188,PANI,CCSM4,1,32,10-14,40,0.02
189,PANI,CCSM4,1,32,14-18,4,0.0
190,PANI,CCSM4,1,32,18-22,0,0.0
191,PANI,CCSM4,1,32,22+,0,0.0
192,PANI,CCSM4,1,33,0-6,1581,0.6
193,PANI,CCSM4,1,33,6-10,556,0.21
194,PANI,CCSM4,1,33,10-14,65,0.02
195,PANI,CCSM4,1,33,14-18,15,0.01
196,PANI,CCSM4,1,33,18-22,0,0.0
197,PANI,CCSM4,1,33,22+,0,0.0
198,PANI,CCSM4,1,34,0-6,1930,0.73
199,PANI,CCSM4,1,34,6-10,804,0.31
200,PANI,CCSM4,1,34,10-14,86,0.03
201,PANI,CCSM4,1,34,14-18,8,0.0
202,PANI,CCSM4,1,34,18-22,0,0.0
203,PANI,CCSM4,1,34,22+,0,0.0
204,PANI,CCSM4,1,35,0-6,2170,0.83
205,PANI,CCSM4,1,35,6-10,945,0.36
206,PANI,CCSM4,1,35,10-14,132,0.05
207,PANI,CCSM4,1,35,14-18,2,0.0
208,PANI,CCSM4,1,35,18-22,0,0.0
209,PANI,CCSM4,1,35,22+,0,0.0
210,PANI,CCSM4,1,0,0-6,2445,0.93
211,PANI,CCSM4,1,0,6-10,1129,0.43
212,PANI,CCSM4,1,0,10-14,259,0.1
213,PANI,CCSM4,1,0,14-18,13,0.0
214,PANI,CCSM4,1,0,18-22,0,0.0
215,PANI,CCSM4,1,0,22+,0,0.0
0,PANI,CCSM4,2,1,0-6,2377,0.9
1,PANI,CCSM4,2,1,6-10,1752,0.67
2,PANI,CCSM4,2,1,10-14,443,0.17
3,PANI,CCSM4,2,1,14-18,70,0.03
4,PANI,CCSM4,2,1,18-22,11,0.0
5,PANI,CCSM4,2,1,22+,0,0.0
6,PANI,CCSM4,2,2,0-6,2213,0.84
7,PANI,CCSM4,2,2,6-10,1930,0.73
8,PANI,CCSM4,2,2,10-14,674,0.26
9,PANI,CCSM4,2,2,14-18,79,0.03
10,PANI,CCSM4,2,2,18-22,3,0.0
11,PANI,CCSM4,2,2,22+,1,0.0
12,PANI,CCSM4,2,3,0-6,2124,0.81
13,PANI,CCSM4,2,3,6-10,1752,0.67
14,PANI,CCSM4,2,3,10-14,521,0.2
15,PANI,CCSM4,2,3,14-18,85,0.03
16,PANI,CCSM4,2,3,18-22,16,0.01
17,PANI,CCSM4,2,3,22+,2,0.0
18,PANI,CCSM4,2,4,0-6,1975,0.75
19,PANI,CCSM4,2,4,6-10,1331,0.51
20,PANI,CCSM4,2,4,10-14,368,0.14
21,PANI,CCSM4,2,4,14-18,100,0.04
22,PANI,CCSM4,2,4,18-22,5,0.0
23,PANI,CCSM4,2,4,22+,0,0.0
24,PANI,CCSM4,2,5,0-6,1792,0.68
25,PANI,CCSM4,2,5,6-10,1520,0.58
26,PANI,CCSM4,2,5,10-14,348,0.13
27,PANI,CCSM4,2,5,14-18,68,0.03
28,PANI,CCSM4,2,5,18-22,6,0.0
29,PANI,CCSM4,2,5,22+,0,0.0
30,PANI,CCSM4,2,6,0-6,1734,0.66
31,PANI,CCSM4,2,6,6-10,1511,0.57
32,PANI,CCSM4,2,6,10-14,330,0.13
33,PANI,CCSM4,2,6,14-18,43,0.02
34,PANI,CCSM4,2,6,18-22,11,0.0
35,PANI,CCSM4,2,6,22+,4,0.0
36,PANI,CCSM4,2,7,0-6,1915,0.73
37,PANI,CCSM4,2,7,6-10,1664,0.63
38,PANI,CCSM4,2,7,10-14,434,0.17
39,PANI,CCSM4,2,7,14-18,94,0.04
40,PANI,CCSM4,2,7,18-22,6,0.0
41,PANI,CCSM4,2,7,22+,4,0.0
42,PANI,CCSM4,2,8,0-6,2398,0.91
43,PANI,CCSM4,2,8,6-10,2351,0.89
44,PANI,CCSM4,2,8,10-14,660,0.25
45,PANI,CCSM4,2,8,14-18,150,0.06
46,PANI,CCSM4,2,8,18-22,29,0.01
47,PANI,CCSM4,2,8,22+,0,0.0
48,PANI,CCSM4,2,9,0-6,2347,0.89
49,PANI,CCSM4,2,9,6-10,2194,0.83
50,PANI,CCSM4,2,9,10-14,679,0.26
51,PANI,CCSM4,2,9,14-18,207,0.08
52,PANI,CCSM4,2,9,18-22,13,0.0
53,PANI,CCSM4,2,9,22+,0,0.0
54,PANI,CCSM4,2,10,0-6,2543,0.97
55,PANI,CCSM4,2,10,6-10,2153,0.82
56,PANI,CCSM4,2,10,10-14,701,0.27
57,PANI,CCSM4,2,10,14-18,290,0.11
58,PANI,CCSM4,2,10,18-22,32,0.01
59,PANI,CCSM4,2,10,22+,5,0.0
60,PANI,CCSM4,2,11,0-6,2743,1.04
61,PANI,CCSM4,2,11,6-10,2637,1.0
62,PANI,CCSM4,2,11,10-14,1027,0.39
63,PANI,CCSM4,2,11,14-18,387,0.15
64,PANI,CCSM4,2,11,18-22,50,0.02
65,PANI,CCSM4,2,11,22+,21,0.01
66,PANI,CCSM4,2,12,0-6,3436,1.31
67,PANI,CCSM4,2,12,6-10,3790,1.44
68,PANI,CCSM4,2,12,10-14,1823,0.69
69,PANI,CCSM4,2,12,14-18,745,0.28
70,PANI,CCSM4,2,12,18-22,172,0.07
71,PANI,CCSM4,2,12,22+,60,0.02
72,PANI,CCSM4,2,13,0-6,4268,1.62
73,PANI,CCSM4,2,13,6-10,4800,1.83
74,PANI,CCSM4,2,13,10-14,2274,0.87
75,PANI,CCSM4,2,13,14-18,1336,0.51
76,PANI,CCSM4,2,13,18-22,390,0.15
77,PANI,CCSM4,2,13,22+,206,0.08
78,PANI,CCSM4,2,14,0-6,4870,1.85
79,PANI,CCSM4,2,14,6-10,4869,1.85
80,PANI,CCSM4,2,14,10-14,2368,0.9
81,PANI,CCSM4,2,14,14-18,1190,0.45
82,PANI,CCSM4,2,14,18-22,444,0.17
83,PANI,CCSM4,2,14,22+,108,0.04
84,PANI,CCSM4,2,15,0-6,4082,1.55
85,PANI,CCSM4,2,15,6-10,3683,1.4
86,PANI,CCSM4,2,15,10-14,1673,0.64
87,PANI,CCSM4,2,15,14-18,863,0.33
88,PANI,CCSM4,2,15,18-22,237,0.09
89,PANI,CCSM4,2,15,22+,43,0.02
90,PANI,CCSM4,2,16,0-6,2943,1.12
91,PANI,CCSM4,2,16,6-10,1978,0.75
92,PANI,CCSM4,2,16,10-14,719,0.27
93,PANI,CCSM4,2,16,14-18,240,0.09
94,PANI,CCSM4,2,16,18-22,64,0.02
95,PANI,CCSM4,2,16,22+,6,0.0
96,PANI,CCSM4,2,17,0-6,2121,0.81
97,PANI,CCSM4,2,17,6-10,1275,0.49
98,PANI,CCSM4,2,17,10-14,391,0.15
99,PANI,CCSM4,2,17,14-18,149,0.06
100,PANI,CCSM4,2,17,18-22,41,0.02
101,PANI,CCSM4,2,17,22+,3,0.0
102,PANI,CCSM4,2,18,0-6,1967,0.75
103,PANI,CCSM4,2,18,6-10,1197,0.46
104,PANI,CCSM4,2,18,10-14,365,0.14
105,PANI,CCSM4,2,18,14-18,148,0.06
106,PANI,CCSM4,2,18,18-22,33,0.01
107,PANI,CCSM4,2,18,22+,4,0.0
108,PANI,CCSM4,2,19,0-6,2097,0.8
109,PANI,CCSM4,2,19,6-10,1565,0.6
110,PANI,CCSM4,2,19,10-14,587,0.22
111,PANI,CCSM4,2,19,14-18,168,0.06
112,PANI,CCSM4,2,19,18-22,33,0.01
113,PANI,CCSM4,2,19,22+,6,0.0
114,PANI,CCSM4,2,20,0-6,2577,0.98
115,PANI,CCSM4,2,20,6-10,2289,0.87
116,PANI,CCSM4,2,20,10-14,920,0.35
117,PANI,CCSM4,2,20,14-18,327,0.12
118,PANI,CCSM4,2,20,18-22,83,0.03
119,PANI,CCSM4,2,20,22+,7,0.0
120,PANI,CCSM4,2,21,0-6,3307,1.26
121,PANI,CCSM4,2,21,6-10,3726,1.42
122,PANI,CCSM4,2,21,10-14,1576,0.6
123,PANI,CCSM4,2,21,14-18,559,0.21
124,PANI,CCSM4,2,21,18-22,98,0.04
125,PANI,CCSM4,2,21,22+,25,0.01
126,PANI,CCSM4,2,22,0-6,4185,1.59
127,PANI,CCSM4,2,22,6-10,5086,1.94
128,PANI,CCSM4,2,22,10-14,2276,0.87
129,PANI,CCSM4,2,22,14-18,726,0.28
130,PANI,CCSM4,2,22,18-22,86,0.03
131,PANI,CCSM4,2,22,22+,21,0.01
132,PANI,CCSM4,2,23,0-6,4822,1.83
133,PANI,CCSM4,2,23,6-10,5262,2.0
134,PANI,CCSM4,2,23,10-14,2144,0.82
135,PANI,CCSM4,2,23,14-18,505,0.19
136,PANI,CCSM4,2,23,18-22,98,0.04
137,PANI,CCSM4,2,23,22+,14,0.01
138,PANI,CCSM4,2,24,0-6,4418,1.68
139,PANI,CCSM4,2,24,6-10,3577,1.36
140,PANI,CCSM4,2,24,10-14,1102,0.42
141,PANI,CCSM4,2,24,14-18,227,0.09
142,PANI,CCSM4,2,24,18-22,54,0.02
143,PANI,CCSM4,2,24,22+,8,0.0
144,PANI,CCSM4,2,25,0-6,4137,1.57
145,PANI,CCSM4,2,25,6-10,2849,1.08
146,PANI,CCSM4,2,25,10-14,604,0.23
147,PANI,CCSM4,2,25,14-18,145,0.06
148,PANI,CCSM4,2,25,18-22,13,0.0
149,PANI,CCSM4,2,25,22+,2,0.0
150,PANI,CCSM4,2,26,0-6,3445,1.31
151,PANI,CCSM4,2,26,6-10,1948,0.74
152,PANI,CCSM4,2,26,10-14,486,0.18
153,PANI,CCSM4,2,26,14-18,107,0.04
154,PANI,CCSM4,2,26,18-22,6,0.0
155,PANI,CCSM4,2,26,22+,0,0.0
156,PANI,CCSM4,2,27,0-6,2987,1.14
157,PANI,CCSM4,2,27,6-10,1484,0.56
158,PANI,CCSM4,2,27,10-14,340,0.13
159,PANI,CCSM4,2,27,14-18,84,0.03
160,PANI,CCSM4,2,27,18-22,3,0.0
161,PANI,CCSM4,2,27,22+,2,0.0
162,PANI,CCSM4,2,28,0-6,2361,0.9
163,PANI,CCSM4,2,28,6-10,1307,0.5
164,PANI,CCSM4,2,28,10-14,301,0.11
165,PANI,CCSM4,2,28,14-18,48,0.02
166,PANI,CCSM4,2,28,18-22,4,0.0
167,PANI,CCSM4,2,28,22+,0,0.0
168,PANI,CCSM4,2,29,0-6,1934,0.74
169,PANI,CCSM4,2,29,6-10,1019,0.39
170,PANI,CCSM4,2,29,10-14,192,0.07
171,PANI,CCSM4,2,29,14-18,40,0.02
172,PANI,CCSM4,2,29,18-22,1,0.0
173,PANI,CCSM4,2,29,22+,0,0.0
174,PANI,CCSM4,2,30,0-6,1698,0.65
175,PANI,CCSM4,2,30,6-10,745,0.28
176,PANI,CCSM4,2,30,10-14,210,0.08
177,PANI,CCSM4,2,30,14-18,16,0.01
178,PANI,CCSM4,2,30,18-22,0,0.0
179,PANI,CCSM4,2,30,22+,0,0.0
180,PANI,CCSM4,2,31,0-6,1555,0.59
181,PANI,CCSM4,2,31,6-10,584,0.22
182,PANI,CCSM4,2,31,10-14,115,0.04
183,PANI,CCSM4,2,31,14-18,14,0.01
184,PANI,CCSM4,2,31,18-22,0,0.0
185,PANI,CCSM4,2,31,22+,0,0.0
186,PANI,CCSM4,2,32,0-6,1495,0.57
187,PANI,CCSM4,2,32,6-10,525,0.2
188,PANI,CCSM4,2,32,10-14,97,0.04
189,PANI,CCSM4,2,32,14-18,5,0.0
190,PANI,CCSM4,2,32,18-22,1,0.0
