,sid,gcm,decadal_group,direction_class,speed_range,count,frequency
114,PADK,ERA,0,20,0-6,978,0.37
115,PADK,ERA,0,20,6-10,1230,0.47
116,PADK,ERA,0,20,10-14,1413,0.54
117,PADK,ERA,0,20,14-18,1204,0.46
118,PADK,ERA,0,20,18-22,802,0.3
119,PADK,ERA,0,20,22+,1202,0.46
120,PADK,ERA,0,21,0-6,1142,0.43
121,PADK,ERA,0,21,6-10,1436,0.55
122,PADK,ERA,0,21,10-14,1689,0.64
123,PADK,ERA,0,21,14-18,1258,0.48
124,PADK,ERA,0,21,18-22,964,0.37
125,PADK,ERA,0,21,22+,1278,0.49
126,PADK,ERA,0,22,0-6,1223,0.47
127,PADK,ERA,0,22,6-10,1680,0.64
128,PADK,ERA,0,22,10-14,1853,0.7
129,PADK,ERA,0,22,14-18,1437,0.55
130,PADK,ERA,0,22,18-22,1145,0.44
131,PADK,ERA,0,22,22+,1600,0.61
132,PADK,ERA,0,23,0-6,1310,0.5
133,PADK,ERA,0,23,6-10,1819,0.69
134,PADK,ERA,0,23,10-14,2134,0.81
135,PADK,ERA,0,23,14-18,1773,0.67
136,PADK,ERA,0,23,18-22,1231,0.47
137,PADK,ERA,0,23,22+,1888,0.72
138,PADK,ERA,0,24,0-6,1393,0.53
139,PADK,ERA,0,24,6-10,1976,0.75
140,PADK,ERA,0,24,10-14,2439,0.93
141,PADK,ERA,0,24,14-18,1858,0.71
142,PADK,ERA,0,24,18-22,1399,0.53
143,PADK,ERA,0,24,22+,2052,0.78
144,PADK,ERA,0,25,0-6,1365,0.52
145,PADK,ERA,0,25,6-10,1885,0.72
146,PADK,ERA,0,25,10-14,2500,0.95
147,PADK,ERA,0,25,14-18,1941,0.74
148,PADK,ERA,0,25,18-22,1461,0.56
149,PADK,ERA,0,25,22+,2147,0.82
150,PADK,ERA,0,26,0-6,1294,0.49
151,PADK,ERA,0,26,6-10,1659,0.63
152,PADK,ERA,0,26,10-14,2141,0.81
153,PADK,ERA,0,26,14-18,1713,0.65
154,PADK,ERA,0,26,18-22,1313,0.5
155,PADK,ERA,0,26,22+,2026,0.77
156,PADK,ERA,0,27,0-6,1212,0.46
157,PADK,ERA,0,27,6-10,1635,0.62
158,PADK,ERA,0,27,10-14,1835,0.7
159,PADK,ERA,0,27,14-18,1623,0.62
160,PADK,ERA,0,27,18-22,1317,0.5
161,PADK,ERA,0,27,22+,1925,0.73
162,PADK,ERA,0,28,0-6,1188,0.45
163,PADK,ERA,0,28,6-10,1710,0.65
164,PADK,ERA,0,28,10-14,2075,0.79
165,PADK,ERA,0,28,14-18,1692,0.64
166,PADK,ERA,0,28,18-22,1187,0.45
167,PADK,ERA,0,28,22+,1703,0.65
168,PADK,ERA,0,29,0-6,1167,0.44
169,PADK,ERA,0,29,6-10,1763,0.67
170,PADK,ERA,0,29,10-14,2109,0.8
171,PADK,ERA,0,29,14-18,1599,0.61
172,PADK,ERA,0,29,18-22,1171,0.45
173,PADK,ERA,0,29,22+,1385,0.53
174,PADK,ERA,0,30,0-6,1197,0.46
175,PADK,ERA,0,30,6-10,1869,0.71
176,PADK,ERA,0,30,10-14,2188,0.83
177,PADK,ERA,0,30,14-18,1678,0.64
178,PADK,ERA,0,30,18-22,1047,0.4
179,PADK,ERA,0,30,22+,1262,0.48
180,PADK,ERA,0,31,0-6,1185,0.45
181,PADK,ERA,0,31,6-10,1843,0.7
182,PADK,ERA,0,31,10-14,1911,0.73
183,PADK,ERA,0,31,14-18,1643,0.62
184,PADK,ERA,0,31,18-22,1135,0.43
185,PADK,ERA,0,31,22+,1344,0.51
186,PADK,ERA,0,32,0-6,1299,0.49
187,PADK,ERA,0,32,6-10,1830,0.7
188,PADK,ERA,0,32,10-14,1873,0.71
189,PADK,ERA,0,32,14-18,1462,0.56
190,PADK,ERA,0,32,18-22,1077,0.41
191,PADK,ERA,0,32,22+,1151,0.44
192,PADK,ERA,0,33,0-6,1232,0.47
193,PADK,ERA,0,33,6-10,1644,0.63
194,PADK,ERA,0,33,10-14,1895,0.72
195,PADK,ERA,0,33,14-18,1337,0.51
196,PADK,ERA,0,33,18-22,981,0.37
197,PADK,ERA,0,33,22+,1199,0.46
198,PADK,ERA,0,34,0-6,1146,0.44
199,PADK,ERA,0,34,6-10,1656,0.63
200,PADK,ERA,0,34,10-14,1781,0.68
201,PADK,ERA,0,34,14-18,1258,0.48
202,PADK,ERA,0,34,18-22,876,0.33
203,PADK,ERA,0,34,22+,951,0.36
204,PADK,ERA,0,35,0-6,1099,0.42
205,PADK,ERA,0,35,6-10,1572,0.6
206,PADK,ERA,0,35,10-14,1641,0.62
207,PADK,ERA,0,35,14-18,1228,0.47
208,PADK,ERA,0,35,18-22,817,0.31
209,PADK,ERA,0,35,22+,874,0.33
210,PADK,ERA,0,0,0-6,1061,0.4
211,PADK,ERA,0,0,6-10,1295,0.49
212,PADK,ERA,0,0,10-14,1570,0.6
213,PADK,ERA,0,0,14-18,1156,0.44
214,PADK,ERA,0,0,18-22,842,0.32
215,PADK,ERA,0,0,22+,855,0.33
0,PADK,CCSM4,1,1,0-6,694,0.26
1,PADK,CCSM4,1,1,6-10,1008,0.38
2,PADK,CCSM4,1,1,10-14,1011,0.38
3,PADK,CCSM4,1,1,14-18,615,0.23
4,PADK,CCSM4,1,1,18-22,360,0.14
5,PADK,CCSM4,1,1,22+,385,0.15
6,PADK,CCSM4,1,2,0-6,770,0.29
7,PADK,CCSM4,1,2,6-10,933,0.36
8,PADK,CCSM4,1,2,10-14,916,0.35
9,PADK,CCSM4,1,2,14-18,599,0.23
10,PADK,CCSM4,1,2,18-22,320,0.12
11,PADK,CCSM4,1,2,22+,398,0.15
12,PADK,CCSM4,1,3,0-6,761,0.29
13,PADK,CCSM4,1,3,6-10,874,0.33
14,PADK,CCSM4,1,3,10-14,936,0.36
15,PADK,CCSM4,1,3,14-18,643,0.24
16,PADK,CCSM4,1,3,18-22,319,0.12
17,PADK,CCSM4,1,3,22+,394,0.15
18,PADK,CCSM4,1,4,0-6,674,0.26
19,PADK,CCSM4,1,4,6-10,781,0.3
