,Unnamed: 0,sid,gcm,total,calm,percent
114,114,PAMH,ERA,1534080,820160,53.5
115,115,PAMH,CCSM4,3723000,0,0.0
116,116,PAMH,CM3,3723000,4265,0.1
117,117,PANN,ERA,1534080,306840,20.0
118,118,PANN,CCSM4,3723000,2875,0.1
119,119,PANN,CM3,3723000,183125,4.9
120,120,PAOM,ERA,1534080,180620,11.8
121,121,PAOM,CCSM4,3723000,15190,0.4
122,122,PAOM,CM3,3723000,430210,11.6
123,123,PAOR,ERA,1534080,645090,42.1
124,124,PAOR,CCSM4,3723000,1318225,35.4
125,125,PAOR,CM3,3723000,65120,1.7
126,126,PAAQ,ERA,1534080,377910,24.6
127,127,PAAQ,CCSM4,3723000,904385,24.3
128,128,PAAQ,CM3,3723000,914890,24.6
129,129,PAPG,ERA,1534080,347060,22.6
130,130,PAPG,CCSM4,3723000,840270,22.6
131,131,PAPG,CM3,3723000,711020,19.1
132,132,PAPH,ERA,1534080,18795,1.2
133,133,PAPH,CCSM4,3723000,21150,0.6
134,134,PAPH,CM3,3723000,44975,1.2
135,135,PAPR,ERA,1534080,456595,29.8
136,136,PAPR,CCSM4,3723000,9360,0.3
137,137,PAPR,CM3,3723000,6190,0.2
138,138,PARY,ERA,1534080,225470,14.7
139,139,PARY,CCSM4,3723000,2745,0.1
140,140,PARY,CM3,3723000,539965,14.5
141,141,PASM,ERA,1534080,55780,3.6
142,142,PASM,CCSM4,3723000,3805,0.1
143,143,PASM,CM3,3723000,139520,3.7
144,144,PASN,ERA,1534080,34310,2.2
145,145,PASN,CCSM4,3723000,83070,2.2
146,146,PASN,CM3,3723000,84010,2.3
147,147,PASD,ERA,1534080,93115,6.1
148,148,PASD,CCSM4,3723000,228685,6.1
149,149,PASD,CM3,3723000,228505,6.1
150,150,PAWD,ERA,1534080,312640,20.4
151,151,PAWD,CCSM4,3723000,747840,20.1
152,152,PAWD,CM3,3723000,751000,20.2
153,153,PASY,ERA,1534080,23855,1.6
154,154,PASY,CCSM4,3723000,56915,1.5
155,155,PASY,CM3,3723000,57120,1.5
156,156,PASH,ERA,1534080,48455,3.2
157,157,PASH,CCSM4,3723000,205,0.0
158,158,PASH,CM3,3723000,116265,3.1
159,159,PASI,ERA,1534080,223455,14.6
160,160,PASI,CCSM4,3723000,535005,14.4
161,161,PASI,CM3,3723000,539015,14.5
162,162,PAGY,ERA,1534080,402320,26.2
163,163,PAGY,CCSM4,3723000,978455,26.3
164,164,PAGY,CM3,3723000,984370,26.4
165,165,PASW,ERA,1534080,320130,20.9
166,166,PASW,CCSM4,3723000,5725,0.2
167,167,PASW,CM3,3723000,10120,0.3
168,168,PADT,ERA,1534080,157320,10.3
169,169,PADT,CCSM4,3723000,393510,10.6
170,170,PADT,CM3,3723000,306395,8.2
171,171,PASV,ERA,1534080,533710,34.8
172,172,PASV,CCSM4,3723000,1260,0.0
173,173,PASV,CM3,3723000,845,0.0
174,174,PATK,ERA,1534080,439165,28.6
175,175,PATK,CCSM4,3723000,677910,18.2
176,176,PATK,CM3,3723000,833605,22.4
177,177,PATA,ERA,1534080,413015,26.9
178,178,PATA,CCSM4,3723000,10,0.0
179,179,PATA,CM3,3723000,12445,0.3
180,180,PATL,ERA,1534080,479675,31.3
181,181,PATL,CCSM4,3723000,460,0.0
182,182,PATL,CM3,3723000,5,0.0
183,183,PATC,ERA,1534080,63655,4.1
184,184,PATC,CCSM4,3723000,45390,1.2
185,185,PATC,CM3,3723000,148215,4.0
186,186,PAUN,ERA,1534080,65165,4.2
187,187,PAUN,CCSM4,3723000,5465,0.1
188,188,PAUN,CM3,3723000,155220,4.2
189,189,PABR,ERA,1534080,27095,1.8
190,190,PABR,CCSM4,3723000,2265,0.1
191,191,PABR,CM3,3723000,65885,1.8
192,192,PAVD,ERA,1534080,550540,35.9
193,193,PAVD,CCSM4,3723000,1342160,36.1
194,194,PAVD,CM3,3723000,1354525,36.4
195,195,PAWG,ERA,1534080,162350,10.6
196,196,PAWG,CCSM4,3723000,378915,10.2
197,197,PAWG,CM3,3723000,383015,10.3
198,198,PAYA,ERA,1534080,498365,32.5
199,199,PAYA,CCSM4,3723000,35,0.0
200,200,PAYA,CM3,3723000,1246605,33.5
