,sid,month,total,calm,percent
142,PASV,11,16522,6728,40.699999999999996
143,PASV,12,16655,7546,45.300000000000004
144,PASW,1,7695,2439,31.7
145,PASW,2,7319,1837,25.1
146,PASW,3,7815,1109,14.2
147,PASW,4,7644,976,12.8
148,PASW,5,8834,1095,12.4
149,PASW,6,8408,1269,15.1
150,PASW,7,8905,1651,18.5
151,PASW,8,8721,1837,21.099999999999998
152,PASW,9,9068,2072,22.8
153,PASW,10,7949,1514,19.0
154,PASW,11,7108,1993,28.000000000000004
155,PASW,12,7266,2536,34.9
156,PAEI,1,20528,11407,55.60000000000001
157,PAEI,2,19674,10118,51.4
158,PAEI,3,22451,7965,35.5
159,PAEI,4,21673,5723,26.400000000000002
160,PAEI,5,22101,4565,20.7
161,PAEI,6,21144,4214,19.900000000000002
162,PAEI,7,21769,5127,23.599999999999998
163,PAEI,8,22296,6391,28.7
164,PAEI,9,21792,6836,31.4
165,PAEI,10,22612,9170,40.6
166,PAEI,11,20870,11451,54.900000000000006
167,PAEI,12,21035,11822,56.2
168,PAGA,1,21478,8827,41.099999999999994
169,PAGA,2,20161,7013,34.8
170,PAGA,3,22385,6849,30.599999999999998
171,PAGA,4,21630,5030,23.3
172,PAGA,5,22505,4644,20.599999999999998
173,PAGA,6,22292,4933,22.1
174,PAGA,7,23135,5145,22.2
175,PAGA,8,23661,5631,23.799999999999997
176,PAGA,9,22774,5300,23.3
177,PAGA,10,24105,6031,25.0
178,PAGA,11,22727,8197,36.1
179,PAGA,12,22944,9435,41.099999999999994
180,PAHO,1,24862,3966,16.0
181,PAHO,2,22605,3947,17.5
182,PAHO,3,24877,3694,14.799999999999999
183,PAHO,4,24098,3303,13.700000000000001
184,PAHO,5,24909,3404,13.700000000000001
185,PAHO,6,24148,3478,14.399999999999999
186,PAHO,7,25160,4477,17.8
187,PAHO,8,25183,4717,18.7
188,PAHO,9,24270,4108,16.900000000000002
189,PAHO,10,25171,4135,16.400000000000002
