,sid,month,total,calm,percent
711,PASH,4,17294,999,5.800000000000001
712,PASH,5,18429,1113,6.0
713,PASH,6,17809,999,5.6000000000000005
714,PASH,7,18039,712,3.9
715,PASH,8,17548,615,3.5000000000000004
716,PASH,9,16972,440,2.6
717,PASH,10,17276,502,2.9000000000000004
718,PASH,11,15958,700,4.3999999999999995
719,PASH,12,17603,790,4.5
720,PASI,1,24653,3109,12.6
721,PASI,2,22516,3377,15.0
722,PASI,3,24853,3204,12.9
723,PASI,4,24308,3489,14.399999999999999
724,PASI,5,25069,4078,16.3
725,PASI,6,24151,4031,16.7
726,PASI,7,25101,4864,19.400000000000002
727,PASI,8,24957,5095,20.4
728,PASI,9,24229,4191,17.299999999999997
729,PASI,10,24836,3019,12.2
730,PASI,11,23680,2512,10.6
731,PASI,12,24670,2862,11.600000000000001
732,PADQ,1,25303,1485,5.8999999999999995
733,PADQ,2,23072,1476,6.4
734,PADQ,3,25474,1201,4.7
735,PADQ,4,24781,1005,4.1000000000000005
736,PADQ,5,25556,1223,4.8
737,PADQ,6,24663,1459,5.8999999999999995
738,PADQ,7,25522,2406,9.4
739,PADQ,8,25559,2245,8.799999999999999
740,PADQ,9,24761,1725,7.000000000000001
741,PADQ,10,25456,1583,6.2
742,PADQ,11,24454,1452,5.8999999999999995
743,PADQ,12,25471,1632,6.4
744,PAGK,1,23776,11366,47.8
745,PAGK,2,22324,8972,40.2
746,PAGK,3,24106,6712,27.800000000000004
747,PAGK,4,23277,4292,18.4
748,PAGK,5,23994,2686,11.200000000000001
749,PAGK,6,23300,2392,10.299999999999999
750,PAGK,7,24180,2712,11.200000000000001
751,PAGK,8,23949,3896,16.3
752,PAGK,9,23184,4333,18.7
753,PAGK,10,24694,6828,27.700000000000003
754,PAGK,11,23472,10774,45.9
755,PAGK,12,23929,11851,49.5
756,PAJN,1,25120,7478,29.799999999999997
757,PAJN,2,23017,7085,30.8
758,PAJN,3,25197,6542,26.0
759,PAJN,4,24564,5872,23.9
760,PAJN,5,25244,5314,21.099999999999998
761,PAJN,6,24490,4614,18.8
762,PAJN,7,25401,4619,18.2
763,PAJN,8,25589,5383,21.0
764,PAJN,9,24788,5711,23.0
765,PAJN,10,25465,6008,23.599999999999998
766,PAJN,11,24206,7085,29.299999999999997
767,PAJN,12,24977,7404,29.599999999999998
768,PASM,1,19498,1506,7.7
769,PASM,2,17725,842,4.8
770,PASM,3,19771,727,3.6999999999999997
771,PASM,4,19003,681,3.5999999999999996
772,PASM,5,19522,710,3.5999999999999996
773,PASM,6,18785,920,4.9
774,PASM,7,19747,1168,5.8999999999999995
775,PASM,8,19415,1197,6.2
776,PASM,9,19338,1208,6.2
777,PASM,10,20613,1687,8.200000000000001
778,PASM,11,18370,1204,6.6000000000000005
779,PASM,12,19676,1636,8.3
780,PASN,1,24005,661,2.8000000000000003
781,PASN,2,22015,489,2.1999999999999997
782,PASN,3,24174,519,2.1
783,PASN,4,23704,457,1.9
784,PASN,5,25041,432,1.7000000000000002
785,PASN,6,24118,426,1.7999999999999998
786,PASN,7,24994,712,2.8000000000000003
787,PASN,8,24964,761,3.0
788,PASN,9,23972,507,2.1
789,PASN,10,24704,526,2.1
790,PASN,11,23634,450,1.9
791,PASN,12,24374,702,2.9000000000000004
792,PASY,1,17942,323,1.7999999999999998
793,PASY,2,16433,210,1.3
794,PASY,3,17707,224,1.3
795,PASY,4,17381,174,1.0
796,PASY,5,18414,285,1.5
797,PASY,6,17711,245,1.4000000000000001
798,PASY,7,18109,430,2.4
799,PASY,8,18437,446,2.4
800,PASY,9,17649,341,1.9
801,PASY,10,18252,327,1.7999999999999998
802,PASY,11,17711,208,1.2
803,PASY,12,18057,262,1.5
