,sid,year,month,speed
174,PAEN,1994,7,6.6
175,PAEN,1994,8,7.3
176,PAEN,1994,9,6.2
177,PAEN,1994,10,7.4
178,PAEN,1994,11,6.2
179,PAEN,1994,12,7.3
180,PAEN,1995,1,7.4
181,PAEN,1995,2,9.1
182,PAEN,1995,3,7.6
183,PAEN,1995,4,8.4
184,PAEN,1995,5,8.9
185,PAEN,1995,6,8.1
186,PAEN,1995,7,7.0
187,PAEN,1995,8,7.1
188,PAEN,1995,9,7.4
189,PAEN,1995,10,7.7
190,PAEN,1995,11,6.6
191,PAEN,1995,12,10.9
192,PAEN,1996,1,4.0
193,PAEN,1996,2,6.6
194,PAEN,1996,3,7.8
195,PAEN,1996,4,8.9
196,PAEN,1996,5,7.8
197,PAEN,1996,6,8.1
198,PAEN,1996,7,8.4
199,PAEN,1996,8,8.5
200,PAEN,1996,9,8.5
201,PAEN,1996,10,7.7
202,PAEN,1996,11,7.4
203,PAEN,1996,12,7.8
204,PAEN,1997,1,7.9
205,PAEN,1997,2,10.2
206,PAEN,1997,3,9.9
207,PAEN,1997,4,10.4
208,PAEN,1997,5,9.9
209,PAEN,1997,6,8.6
210,PAEN,1997,7,8.8
211,PAEN,1997,8,7.1
212,PAEN,1997,9,7.8
213,PAEN,1997,10,6.9
214,PAEN,1997,11,8.0
215,PAEN,1997,12,9.4
216,PAEN,1998,1,8.2
217,PAEN,1998,2,8.8
218,PAEN,1998,3,8.2
219,PAEN,1998,4,8.4
220,PAEN,1998,5,9.0
221,PAEN,1998,6,8.4
222,PAEN,1998,7,7.6
223,PAEN,1998,8,9.2
224,PAEN,1998,9,8.5
225,PAEN,1998,10,8.5
226,PAEN,1998,11,7.0
227,PAEN,1998,12,6.1
228,PAEN,1999,1,9.3
229,PAEN,1999,2,4.8
230,PAEN,1999,3,8.4
231,PAEN,1999,4,8.7
232,PAEN,1999,5,9.4
233,PAEN,1999,6,8.5
234,PAEN,1999,7,9.1
235,PAEN,1999,8,5.8
236,PAEN,1999,9,7.7
237,PAEN,1999,10,7.8
238,PAEN,1999,11,7.3
239,PAEN,1999,12,8.1
240,PAEN,2000,1,4.6
241,PAEN,2000,2,7.2
242,PAEN,2000,3,9.6
243,PAEN,2000,4,8.0
244,PAEN,2000,5,8.5
245,PAEN,2000,6,8.0
246,PAEN,2000,7,8.0
247,PAEN,2000,8,6.4
248,PAEN,2000,9,7.4
249,PAEN,2000,10,8.0
250,PAEN,2000,11,8.2
251,PAEN,2000,12,9.5
252,PAEN,2001,1,9.4
253,PAEN,2001,2,7.4
254,PAEN,2001,3,10.3
255,PAEN,2001,4,8.3
256,PAEN,2001,5,9.1
257,PAEN,2001,6,8.6
258,PAEN,2001,7,7.3
259,PAEN,2001,8,5.9
260,PAEN,2001,9,6.9
261,PAEN,2001,10,7.1
262,PAEN,2001,11,5.6
263,PAEN,2001,12,5.4
264,PAEN,2002,1,7.8
265,PAEN,2002,2,10.2
266,PAEN,2002,3,7.4
267,PAEN,2002,4,6.6
268,PAEN,2002,5,8.3
269,PAEN,2002,6,8.5
270,PAEN,2002,7,8.6
271,PAEN,2002,8,6.6
272,PAEN,2002,9,7.7
273,PAEN,2002,10,9.1
274,PAEN,2002,11,8.2
275,PAEN,2002,12,6.0
276,PAEN,2003,1,9.6
277,PAEN,2003,2,6.0
278,PAEN,2003,3,10.5
279,PAEN,2003,4,8.0
280,PAEN,2003,5,7.7
281,PAEN,2003,6,7.7
282,PAEN,2003,7,9.3
283,PAEN,2003,8,7.2
284,PAEN,2003,9,7.5
285,PAEN,2003,10,6.9
286,PAEN,2003,11,6.6
287,PAEN,2003,12,6.3
288,PAEN,2004,1,6.9
289,PAEN,2004,2,8.5
290,PAEN,2004,3,7.8
291,PAEN,2004,4,8.8
292,PAEN,2004,5,7.8
293,PAEN,2004,6,8.6
294,PAEN,2004,7,7.1
295,PAEN,2004,8,6.0
296,PAEN,2004,9,6.0
297,PAEN,2004,10,5.6
298,PAEN,2004,11,8.1
299,PAEN,2004,12,9.2
300,PAEN,2005,1,7.5
301,PAEN,2005,2,8.2
302,PAEN,2005,3,9.3
303,PAEN,2005,4,7.7
304,PAEN,2005,5,8.4
305,PAEN,2005,6,8.3
306,PAEN,2005,7,8.0
307,PAEN,2005,8,7.1
308,PAEN,2005,9,8.6
309,PAEN,2005,10,6.2
310,PAEN,2005,11,6.8
311,PAEN,2005,12,8.3
312,PAEN,2006,1,5.0
313,PAEN,2006,2,9.0
314,PAEN,2006,3,7.2
315,PAEN,2006,4,9.1
316,PAEN,2006,5,9.9
317,PAEN,2006,6,7.9
318,PAEN,2006,7,8.7
319,PAEN,2006,8,8.1
320,PAEN,2006,9,6.6
321,PAEN,2006,10,6.6
322,PAEN,2006,11,6.0
323,PAEN,2006,12,9.0
324,PAEN,2007,1,7.1
325,PAEN,2007,2,5.1
326,PAEN,2007,3,7.5
327,PAEN,2007,4,8.5
328,PAEN,2007,5,8.4
329,PAEN,2007,6,9.3
330,PAEN,2007,7,7.2
331,PAEN,2007,8,5.9
332,PAEN,2007,9,7.0
333,PAEN,2007,10,7.2
334,PAEN,2007,11,7.9
335,PAEN,2007,12,8.4
336,PAEN,2008,1,5.9
337,PAEN,2008,2,8.2
338,PAEN,2008,3,8.7
339,PAEN,2008,4,6.6
340,PAEN,2008,5,9.6
341,PAEN,2008,6,9.2
342,PAEN,2008,7,6.5
343,PAEN,2008,8,5.9
344,PAEN,2008,9,6.8
345,PAEN,2008,10,6.6
346,PAEN,2008,11,7.6
347,PAEN,2008,12,7.9
348,PAEN,2009,1,6.4
349,PAEN,2009,2,5.3
350,PAEN,2009,3,9.3
351,PAEN,2009,4,7.5
352,PAEN,2009,5,8.0
353,PAEN,2009,6,7.9
354,PAEN,2009,7,8.0
355,PAEN,2009,8,6.5
356,PAEN,2009,9,7.0
357,PAEN,2009,10,8.5
358,PAEN,2009,11,7.3
359,PAEN,2009,12,8.4
360,PAEN,2010,1,8.2
361,PAEN,2010,2,9.3
362,PAEN,2010,3,9.9
363,PAEN,2010,4,8.5
364,PAEN,2010,5,8.3
365,PAEN,2010,6,8.0
366,PAEN,2010,7,7.7
367,PAEN,2010,8,6.5
368,PAEN,2010,9,6.8
369,PAEN,2010,10,7.2
370,PAEN,2010,11,10.5
371,PAEN,2010,12,9.0
372,PAEN,2011,1,9.5
373,PAEN,2011,2,9.8
374,PAEN,2011,3,9.8
375,PAEN,2011,4,9.1
376,PAEN,2011,5,10.6
377,PAEN,2011,6,8.7
378,PAEN,2011,7,7.9
379,PAEN,2011,8,7.0
380,PAEN,2011,9,7.2
381,PAEN,2011,10,6.7
382,PAEN,2011,11,9.0
383,PAEN,2011,12,8.7
384,PAEN,2012,1,5.1
385,PAEN,2012,2,9.8
386,PAEN,2012,3,5.8
387,PAEN,2012,4,5.7
388,PAEN,2012,5,8.4
389,PAEN,2012,6,8.2
390,PAEN,2012,7,6.8
391,PAEN,2012,8,6.5
392,PAEN,2012,9,9.7
393,PAEN,2012,10,5.8
394,PAEN,2012,11,7.0
395,PAEN,2012,12,8.1
396,PAEN,2013,1,9.7
397,PAEN,2013,2,10.6
398,PAEN,2013,3,8.0
399,PAEN,2013,4,6.9
400,PAEN,2013,5,6.6
401,PAEN,2013,6,8.5
402,PAEN,2013,7,7.5
403,PAEN,2013,8,6.9
404,PAEN,2013,9,7.3
405,PAEN,2013,10,7.8
406,PAEN,2013,11,6.3
407,PAEN,2013,12,6.3
408,PAEN,2014,1,9.9
409,PAEN,2014,2,9.7
410,PAEN,2014,3,7.8
411,PAEN,2014,4,7.9
412,PAEN,2014,5,8.4
413,PAEN,2014,6,8.3
414,PAEN,2014,7,8.1
415,PAEN,2014,8,7.6
416,PAEN,2014,9,6.2
417,PAEN,2014,10,5.7
418,PAEN,2014,11,10.1
419,PAEN,2014,12,9.6
420,PAEN,2015,1,6.1
421,PAFB,1980,1,2.6
422,PAFB,1980,2,3.7
423,PAFB,1980,3,3.0
424,PAFB,1980,4,5.2
425,PAFB,1980,5,6.8
426,PAFB,1980,6,6.3
427,PAFB,1980,7,5.1
428,PAFB,1980,8,5.0
429,PAFB,1980,9,4.8
430,PAFB,1980,10,3.6
431,PAFB,1980,11,0.9
432,PAFB,1980,12,0.2
433,PAFB,1981,1,2.7
434,PAFB,1981,2,2.1
435,PAFB,1981,3,4.8
436,PAFB,1981,4,6.7
437,PAFB,1981,5,5.3
438,PAFB,1981,6,6.3
439,PAFB,1981,7,5.4
440,PAFB,1981,8,4.5
441,PAFB,1981,9,4.0
442,PAFB,1981,10,2.5
443,PAFB,1981,11,2.3
444,PAFB,1981,12,1.0
445,PAFB,1982,1,2.6
446,PAFB,1982,2,2.0
447,PAFB,1982,3,3.3
448,PAFB,1982,4,5.1
449,PAFB,1982,5,6.2
450,PAFB,1982,6,5.2
451,PAFB,1982,7,6.2
452,PAFB,1982,8,4.4
453,PAFB,1982,9,5.5
454,PAFB,1982,10,3.3
455,PAFB,1982,11,1.1
456,PAFB,1982,12,2.0
457,PAFB,1983,1,2.1
458,PAFB,1983,2,1.4
459,PAFB,1983,3,3.9
460,PAFB,1983,5,7.8
461,PAFB,1983,6,6.3
462,PAFB,1983,7,5.8
463,PAFB,1983,8,4.6
464,PAFB,1983,9,4.9
465,PAFB,1983,10,4.5
466,PAFB,1983,11,1.4
467,PAFB,1983,12,0.6
468,PAFB,1984,1,1.2
469,PAFB,1984,2,1.3
470,PAFB,1984,3,3.2
471,PAFB,1984,4,4.2
472,PAFB,1984,5,6.0
473,PAFB,1984,6,4.4
474,PAFB,1984,7,6.2
475,PAFB,1984,8,5.3
476,PAFB,1984,9,3.7
477,PAFB,1984,10,3.5
478,PAFB,1984,11,1.9
479,PAFB,1984,12,1.1
480,PAFB,1985,1,1.6
481,PAFB,1985,2,2.8
482,PAFB,1985,3,3.4
483,PAFB,1985,4,5.4
484,PAFB,1985,5,6.7
485,PAFB,1985,6,5.9
486,PAFB,1985,7,5.1
487,PAFB,1985,8,6.1
